Taxa	stoolMeans	swabMeans	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Desulfovibrio	0.879323159057551	0.763671112724398	0.468541159313338	0.75663494195648	4.59571431896601e-37	0.6761226855914	0.936121042518216	5.23911432362125e-36
Dialister	1.4197366939501	2.09753892228951	5.52167133190524e-08	0.682603661223825	7.15318650187034e-20	2.33137234013777e-07	0.936121042518216	2.54832269129131e-19
Dorea	3.15837157207004	2.91451479164327	6.24754257702994e-08	0.0422342054106519	2.31806369223139e-06	2.54364233493362e-07	0.936121042518216	3.52345681219171e-06
Eggerthella	1.60491664555168	1.60988864980803	0.997730363352302	0.692808789658044	1.19066347839066e-14	0.999840461377824	0.936121042518216	2.77011503135785e-14
Enterobacter	0.508953080211361	0.78358763703631	0.00551724961818493	0.517572392084186	2.42518171823246e-12	0.0128360501321037	0.936121042518216	5.21642860148113e-12
Enterococcus	0.295582219376577	0.386169825235915	0.374730453906461	0.58624432612562	1.50544929921228e-27	0.569590289937821	0.936121042518216	6.86484880440802e-27
Erysipelotrichaceae_incertae_sedis	2.15174996487089	2.33716913024752	0.0558572420954187	0.870270444190897	9.77017735855966e-28	0.111714484190837	0.980509441791093	5.06272826761728e-27
Escherichia_Shigella	1.00838475855384	1.8355118785313	6.07720211181591e-14	0.963278740777489	3.83107470977347e-13	3.14909563975916e-13	0.980509441791093	8.73485033828352e-13
Ethanoligenens	0.953498084462802	0.699410873910001	0.001834021033871	0.693789799110039	1.5758377035912e-16	0.00509947311856815	0.936121042518216	4.49113745523491e-16
Eubacterium	0.382292949880913	0.307902655231598	0.358162077045306	0.447723333683645	1.64718472973913e-06	0.551763199772498	0.936121042518216	2.60804248875362e-06
Faecalibacterium	3.578578260509	3.63902239303591	0.681973450317321	0.734271164626	1.11725581325857e-36	0.925535396859221	0.936121042518216	1.06139302259564e-35
Finegoldia	0.306566928398801	2.08364078546124	9.72176090095464e-66	0.654776284022023	0.209583065267897	3.69426914236276e-64	0.936121042518216	0.215247472437299
Flavonifractor	2.6820242805492	2.67655736259231	0.994201235428496	0.962343694439621	1.32922483225673e-05	0.999840461377824	0.980509441791093	1.87076087502798e-05
Fusibacter	1.38585706303339	0.917692476290249	2.21221420186782e-07	0.0479857498636698	6.85259477671977e-29	8.69629031079076e-07	0.936121042518216	3.90597902273027e-28
Fusobacterium	0.346765689047877	0.996185636150521	6.75518331223116e-13	0.663727310006543	5.0387261822811e-08	3.34822129388849e-12	0.936121042518216	8.44727624676538e-08
Gemella	0.702744357626619	0.512159164333612	0.0255187658737221	0.758487223796991	0.276160505177205	0.054787454133845	0.936121042518216	0.281091942769655
Gemmiger	0.952294162509916	0.883497425750579	0.704984050508758	0.600656235336165	2.50621513450984e-40	0.937615646565948	0.936121042518216	5.71417050668242e-39
Geobacillus	1.64108745199689	3.12815089709108	1.07115498128898e-53	0.352949065609837	0.344228172221778	2.03519446444907e-52	0.936121042518216	0.344228172221778
Gordonibacter	1.42301954142501	0.860436711023219	1.24118936530327e-11	0.329250518264298	1.61031184009547e-09	5.89564948519052e-11	0.936121042518216	2.78144772380126e-09
Granulicatella	0.789141780236709	0.266339313566318	1.38841193854323e-19	0.563092511109829	0.00496964095814725	9.31052711728986e-19	0.936121042518216	0.0059635691497767
Haemophilus	0.548325112445859	0.494636428955119	0.744413904790222	0.27611908022749	2.33045590326651e-10	0.953518934225677	0.936121042518216	4.08726112265203e-10
Hallella	0.22981188598113	0.682307475504454	7.82767089056992e-07	0.258089520748489	2.89079875898502e-11	2.87856284362894e-06	0.936121042518216	5.58561116142869e-11
Hespellia	0.272628455618265	0.281447564777471	0.976200994209566	0.60940504430963	3.9107783972e-05	0.999840461377824	0.936121042518216	5.30748496762857e-05
Holdemania	1.46263194397761	1.50203786723448	0.818425193542247	0.718850570374516	1.14135171221649e-07	0.970757494114841	0.936121042518216	1.88571152453158e-07
Howardella	0.760253827316881	0.778053713981452	0.983679220113679	0.53218281011054	7.45889565071448e-49	0.999840461377824	0.936121042518216	8.50314104181451e-47
Hydrogenoanaerobacterium	0.72435668086105	0.66432290327754	0.619080436869739	0.703460242400907	3.61253396980146e-11	0.860672802477442	0.936121042518216	6.86381454262277e-11
Klebsiella	0.38018080613388	0.309137248460851	0.611168258911735	0.562138708939902	6.65723817151108e-28	0.860162734764663	0.936121042518216	3.61392929310602e-27
Lachnobacterium	0.285685902468389	0.292678475576546	0.985706122673255	0.362033924093098	0.0571878378390735	0.999840461377824	0.936121042518216	0.0639158187613174
Lachnospiracea_incertae_sedis	4.09637151822629	3.91103163457781	1.7619167476625e-06	0.177165070004214	8.39876450898489e-06	6.08662149192501e-06	0.936121042518216	1.24345344678478e-05
Lactobacillus	0.892001082324991	0.946710575091591	0.774876349595356	0.682651969643243	1.49195809977856e-05	0.966892572993083	0.936121042518216	2.07418565091166e-05
Lactococcus	1.04927651081502	0.735855313096	0.000180304673855517	0.0117593712697872	0.000230584331109271	0.000555533319446727	0.936121042518216	0.000298711519846101
Lactonifactor	0.602663978099414	0.500439645501894	0.0868553418687883	0.155430896634217	0.000468469557591079	0.16782218598376	0.936121042518216	0.0005933947729487
Marvinbryantia	0.433882533441874	0.570599460805055	0.103219884180676	0.512908884697236	3.2439037139704e-12	0.196117779943284	0.936121042518216	6.8482411739375e-12
Megasphaera	0.341839091940215	0.547018523639373	0.0381531343813967	0.697477210242555	1.17570341622679e-27	0.0790810421723494	0.936121042518216	5.58459122707725e-27
Microbacterium	0.28898511372277	0.313239870821173	0.902623480519059	0.205637821749868	4.58171999963028e-18	0.999840461377824	0.936121042518216	1.53622376458192e-17
Mobiluncus	0.0542928505218138	0.555301484624044	5.50681765941782e-16	0.192256796884031	0.160226617090954	3.48765118429795e-15	0.936121042518216	0.16757646191164
Mogibacterium	0.717898570618167	0.680936203906866	0.866245905523206	0.431560155031384	8.09843143786055e-15	0.997495285147935	0.936121042518216	1.92337746649188e-14
Murdochiella	0.124748355865618	1.2625421121488	5.9341662699621e-34	0.533969525284867	0.00264260357704906	6.7649495477568e-33	0.936121042518216	0.00323932051380208
Negativicoccus	0.0133594990110073	0.751480516070302	7.76464600564523e-30	0.563176680235449	0.0605832317218217	7.37641370536297e-29	0.936121042518216	0.0670532855950259
Odoribacter	2.19607737872319	2.17005297738075	0.960982638836871	0.887613494479961	4.09597956069917e-30	0.999840461377824	0.980509441791093	2.4575877364195e-29
Oribacterium	0.275317008068655	0.201489917146359	0.153437651117993	0.243245326542264	8.92499424008287e-05	0.264711582381259	0.936121042518216	0.000119699922749347
Oscillibacter	3.28494293571284	3.3027399325813	0.950797374933977	0.73781711675798	2.36603346362553e-17	0.999840461377824	0.936121042518216	6.91609781675156e-17
Parabacteroides	3.37466503360347	3.33226692526981	0.849115431070531	0.878898935268255	3.24539642255543e-39	0.987746521857557	0.980509441791093	5.2853598881617e-38
Paraprevotella	1.91191647498926	1.79668503634232	0.437595575555841	0.756810795948182	4.77712514682652e-31	0.647868774199557	0.936121042518216	3.4037016671139e-30
Parasutterella	2.16523999577518	2.34487268964311	0.256064643307241	0.31399098968271	9.2393982568082e-46	0.411146047000359	0.936121042518216	3.51097133758712e-44
Parvimonas	0.153536761755823	0.454622198861387	1.79579412085122e-05	0.466990653214696	0.00336867665580683	6.02119205226587e-05	0.936121042518216	0.00408541636980829
Peptococcus	0.15447675169775	0.619446347340905	2.68310564943588e-15	0.336442124481866	1.83527691492752e-06	1.60986338966153e-14	0.936121042518216	2.86604888084572e-06
Peptoniphilus	0.573078479470016	2.51219539628231	1.88515170149913e-69	0.169159843868609	0.00973584976309393	2.149072939709e-67	0.936121042518216	0.0112109785150779
Peptostreptococcus	0.18322779859289	1.01416426422995	5.83868384119697e-21	0.356850188017967	0.000130970644209731	4.44137734459926e-20	0.936121042518216	0.000173612249301271
Phascolarctobacterium	2.68964086538737	2.42701966798243	0.0633943091302459	0.827527453773792	2.21960823868413e-39	0.124602607600828	0.979324458564634	4.21725565349985e-38
Porphyromonas	0.45737837688778	1.80737723074683	3.28646973045343e-38	0.301175038357776	2.17633772709942e-06	4.68321936589614e-37	0.936121042518216	3.35273649850451e-06
Prevotella	1.7250942256215	2.83710971488249	8.44568415455696e-20	0.631859827089447	1.96941681583597e-22	6.01754996012183e-19	0.936121042518216	7.74184541397587e-22
Propionibacterium	0.163995474390896	0.236807469367255	0.130145414863539	0.1541883047574	2.93334094901671e-05	0.23182152022568	0.936121042518216	4.02892612274584e-05
Pseudoflavonifractor	2.44332857472997	2.52620840460415	0.19464875958203	0.130446039943546	6.74864676963976e-06	0.326322920475757	0.936121042518216	1.01229701544596e-05
Ralstonia	0.426765734065789	0.496371649024962	0.493550988340627	0.427251448501475	0.000160895115461214	0.703310158385394	0.936121042518216	0.000210828082328487
Robinsoniella	0.272254589158476	0.376023444235786	0.108892555792175	0.162411829626571	9.89433584593419e-06	0.203504120660786	0.936121042518216	1.44609523902115e-05
Roseburia	3.43521867678641	3.15908740382579	2.44373594438848e-08	0.13126348044312	8.42694452903085e-11	1.07148422177033e-07	0.936121042518216	1.52487567668177e-10
Rothia	0.429225887244028	0.24139865646374	0.000857032174241596	0.804933441163813	2.44761489635727e-09	0.00250517097086005	0.976195875453987	4.16459848036909e-09
Ruminococcus	2.65505607407806	2.5530610289255	0.630489141861047	0.953058179416558	1.07434132234359e-27	0.865973038218787	0.980509441791093	5.32499611944214e-27
Salmonella	0.142441563266868	0.390680206158555	4.61282400973474e-05	0.746458474836334	4.61133462708436e-12	0.000150246267745646	0.936121042518216	9.3873597765646e-12
Slackia	0.604204074833679	0.446833226654696	0.12565127705681	0.591875326540954	3.51522541410938e-35	0.22736897753137	0.936121042518216	3.08258228621899e-34
Solobacterium	0.493784925378454	0.513587705763116	0.956255467504485	0.540124452470364	5.75523917650903e-12	0.999840461377824	0.936121042518216	1.15104783530181e-11
Sporobacter	0.52554109734108	0.357039209566385	0.0105746049254544	0.994591172706442	1.86506898850378e-17	0.0236373521863098	0.994591172706442	5.59520696551135e-17
Streptococcus	2.75057398340394	2.8081275856611	0.723773481559679	0.859981112312696	3.75051140799032e-12	0.937615646565948	0.980509441791093	7.7737872820163e-12
Streptophyta	0.753782448900543	0.251711260714973	5.71214673575066e-15	0.87399684206293	0.177444474349861	3.10087965655036e-14	0.980509441791093	0.183897000689856
Subdoligranulum	3.01215139661049	2.9017054735971	0.461022613266728	0.833284846322539	2.25193168678072e-38	0.673802280928295	0.979324458564634	2.85244680325558e-37
Sutterella	0.950223662722265	1.04385659054278	0.721499495306055	0.644326733623854	1.77558675643288e-38	0.937615646565948	0.936121042518216	2.53021112791686e-37
Syntrophococcus	2.253140425598	2.22028707394419	0.908706007615211	0.144841048780239	1.53349448676559e-25	0.999840461377824	0.936121042518216	6.47475449967694e-25
TM7_genera_incertae_sedis	0.891515982628505	0.315884592915335	5.84391755868323e-21	0.119257912929487	0.0302373396632952	4.44137734459926e-20	0.936121042518216	0.0341292744714421
Thermus	0.207716066601939	1.58312491833903	1.02297430043337e-53	0.0931303944419837	0.111808999110373	2.03519446444907e-52	0.936121042518216	0.120247414137571
Turicibacter	0.831200067236486	0.556373014828478	0.00165190035136264	0.0520768157290901	4.87267922096359e-13	0.00470791600138354	0.936121042518216	1.0891871199801e-12
Veillonella	1.36021637046156	1.0627949889865	0.00273573380906177	0.245959387883193	3.25915908881958e-22	0.00708803759620549	0.936121042518216	1.23848045375144e-21
